,f_value,p_value,variance,correlation_to_target,LGBMClassifier_rfe_rank,RandomForestClassifier_rfe_rank,GradientBoostingClassifier_rfe_rank,ExtraTreesClassifier_rfe_rank,AdaBoostClassifier_rfe_rank,XGBClassifier_rfe_rank,LGBMClassifier_feature_importance,RandomForestClassifier_feature_importance,GradientBoostingClassifier_feature_importance,ExtraTreesClassifier_feature_importance,AdaBoostClassifier_feature_importance,XGBClassifier_feature_importance
Age^2_binned_5_woe_encoded,8.340210156960692,0.00397243351994816,0.27792216729171826,0.09673123835172874,16,20,17,34,42,17,74,0.012570404605033543,0.0067998628167780534,0.01133038774258986,0.02,0.016523119
Age_binned_5,0.4116669489372894,0.5212911499022387,0.4938893676785089,0.02158695742834979,70,46,57,20,41,54,0,0.00700287336485805,0.0,0.01091158168979619,0.0,0.0
Age_binned_5_catboost_encoded,6.429995493853574,0.011392304593288678,0.287462289786098,0.0850255497130739,72,39,51,30,43,50,0,0.010418304917123278,0.0005687281955697071,0.010412349590976066,0.02,0.0
Age_binned_5_target_encoded,6.440268047368554,0.011327095699467294,0.28752688443205193,0.08509294957608216,55,32,64,41,38,65,0,0.010467321919646081,0.004726806777562557,0.010030934283599855,0.0,0.0
Age_binned_5_woe_encoded,8.340210156960692,0.00397243351994816,0.27792216729171826,0.09673123835172874,73,33,26,29,16,51,0,0.012651248527904096,0.003913171279132215,0.010859741318467377,0.0,0.0
CabinQuarter_B,27.335237831821228,2.136544755066371e-07,0.04724568291359444,0.17328491251510536,50,85,77,85,56,39,2,0.0007384372685347061,0.0,0.0014288133434638406,0.0,0.009197137
CabinQuarter_B_catboost_encoded,22.55497059118091,2.3822269094839513e-06,34.032168768751674,0.1578206120146036,37,72,72,72,51,42,17,0.0017462882181175257,6.371258605425798e-05,0.0026731298926470225,0.0,0.002362538
CabinQuarter_B_target_encoded,22.65748563849995,2.261466003206492e-06,34.796797612706364,0.1581699095043385,81,71,68,65,57,52,0,0.0018408043190818277,2.4626902056916326e-05,0.002682864302259288,0.0,0.0
CabinQuarter_B_woe_encoded,25.260022714288436,6.065252395768008e-07,343.209294869812,0.16676763460155916,39,68,84,74,55,43,14,0.002236001075533204,0.0,0.0020009631767833936,0.0,0.0016097478
CabinQuarter_C,12.017044071175501,0.0005525920408622263,0.06025854639471416,0.11587324623174683,86,84,59,80,54,55,0,0.0010816333945715998,0.001828933396701354,0.0016937062035089438,0.0,0.0
CabinQuarter_C_catboost_encoded,7.887733851044477,0.005086935909451815,10.058231426851263,0.09409458569608475,14,51,24,60,62,20,43,0.002963419216767199,0.0024190134445706206,0.0026913264243245438,0.0,0.013513413
CabinQuarter_C_target_encoded,7.930605879131792,0.004968859883969565,10.470099732681032,0.0943476841821905,66,61,44,64,66,49,0,0.004223238710879905,0.0036235643722990402,0.002752477565770586,0.0,0.0
CabinQuarter_C_woe_encoded,10.370312554363768,0.0013273799743237582,189.68274365980008,0.1077407922616478,30,58,34,56,14,40,23,0.003134132498397601,0.001775759968803549,0.003087938623416716,0.02,0.003067037
CabinQuarter_D,20.930021741984948,5.444665472446875e-06,0.03589773053720196,0.15216593342783724,75,83,70,84,70,74,0,0.000629218015416055,0.0,0.0016734464160255607,0.0,0.0
CabinQuarter_D_catboost_encoded,17.42639725133544,3.282300756307467e-05,26.269409284930614,0.13911683728479826,42,67,88,68,17,26,9,0.002615573944769415,0.0,0.0022613441018309224,0.02,0.009312202
CabinQuarter_D_target_encoded,17.547701352521802,3.0832492614034436e-05,28.1833374103501,0.1395907871430675,76,63,76,57,74,66,0,0.002847886880665295,0.0003426134622442712,0.0026078550104301178,0.0,0.0
