,f_value,p_value,variance,correlation_to_target,LGBMRegressor_rfe_rank,LGBMRegressor_feature_importance
Foundation_PConc,604.0423022048582,1.3026198290905018e-111,0.24686181729604662,0.5442777229169237,55,10
Foundation_Slab,38.04038515833001,8.993167729840608e-10,0.016422522565714057,0.1606997221628095,142,1
Foundation_Stone,0.2849290434199585,0.5935712680222314,0.00415793166870786,0.014089620566104296,264,0
Foundation_Wood,0.13499888661915854,0.713358482974447,0.0020833242532938756,0.009698815893632773,266,0
FullBath,789.303878568962,9.491267045912901e-139,0.2990088471061793,0.5956965143456823,41,25
Functional_ordinal_encoded,26.018437877962096,3.8334589759798964e-07,0.44990021641971384,0.13344821247584013,28,25
GarageArea,1072.4634390701597,3.961574777836667e-176,0.7675720694764644,0.6539942699145607,1,153
GarageArea_binned_5,890.9970484787929,1.0727208471361213e-152,0.49772853732913186,0.6189186264449392,273,0
GarageCars,1234.1810673268612,1.2752218067443108e-195,0.5585284815413695,0.6799867059145506,46,17
GarageCond_ordinal_encoded,215.13879096238023,1.7145314466433206e-45,0.5252824618674661,0.3610764176039252,57,10
GarageFinish_ordinal_encoded,855.2907260988455,7.186945746936818e-148,0.7971112399266043,0.6110990016798815,42,25
GarageQual_ordinal_encoded,217.05446274087473,7.429353524109995e-46,0.5262480937970497,0.3624700932617496,105,6
GarageType_2Types,0.5557620341099602,0.45609492919081807,0.00415793166870786,0.019675890835029,283,0
GarageType_Attchd,303.675865933376,7.678935120814114e-62,0.24110870429531872,0.4179225703936134,93,5
GarageType_Basment,1.3010657550993179,0.2542089711299561,0.013047169231111945,0.030097254572122926,288,0
GarageType_BuiltIn,81.00599062308987,6.960858588346749e-19,0.05687736716628677,0.23115756445555144,290,0
GarageType_CarPort,10.894655306982232,0.0009881026160033838,0.006223822246241955,0.0868037366998816,292,0
GarageType_Detchd,261.8804200687198,3.1192298912053807e-54,0.1948387602913167,0.392849220012448,44,24
GarageType_Nonexistent,171.6320500575617,4.00690878199869e-37,0.053190144743092985,0.32684434992707023,297,0
GrLivArea,1518.3671920429897,3.598280519211073e-227,0.5796956687607513,0.7170173795812367,6,150
GrLivArea_binned_5,1292.2405853155217,2.482883257545261e-202,0.4982481577205274,0.6883510239578867,301,0
HalfBath,158.205527805677,1.7119195691530255e-34,0.2529519813614635,0.3151192431327416,65,11
HeatingQC_ordinal_encoded,430.51504766760814,7.655494953371558e-84,0.23086980966784493,0.48039091952194035,19,42
Heating_Floor,4.419940900662383,0.03569511818867053,0.000695409955306835,0.05541335863258051,248,0
Heating_GasA,31.795086022799126,2.0601427381411777e-08,0.0211073386573842,0.14722964977065678,309,0
Heating_GasW,2.2149029862940344,0.13690336458295715,0.011690248134475622,0.039256944898770844,311,0
Heating_Grav,33.68111425005398,7.978479883277731e-09,0.004847530398761432,0.1514361186854337,189,0
Heating_OthW,0.9908793251039778,0.3196953737718351,0.0013898513730714601,0.026268455757213375,169,0
Heating_Wall,9.008274881698318,0.0027340051245001735,0.0027758285959740797,0.07898342711533284,181,0
HouseStyle_1.5Fin,51.64698215255563,1.0643831486264088e-12,0.09458737637223613,0.18638825744646512,58,6
HouseStyle_1.5Unf,15.837264151720914,7.247823742941924e-05,0.008964783490696467,0.10447941430556004,218,0
HouseStyle_1Story,7.580160114962567,0.005975827514283913,0.24999019355738514,0.07248851654384261,97,3
HouseStyle_2.5Fin,0.11447690045866495,0.7351531990985382,0.004847530398761433,0.00893132017157526,185,0
HouseStyle_2.5Unf,0.865386426233051,0.3523921791839779,0.007596239943553631,0.02454981231639478,199,0
HouseStyle_2Story,108.57665925224299,1.4729270188677509e-24,0.2118976120222628,0.26521869635222534,82,8
HouseStyle_SFoyer,13.313865512276468,0.0002728899296084275,0.025085122343240986,0.09587839130653722,152,0
HouseStyle_SLvl,0.12292082014797863,0.7259394225631599,0.04318708900714733,0.009254824215658855,128,1
