,f_value,p_value,variance,correlation_to_target,LGBMRegressor_rfe_rank,RandomForestRegressor_rfe_rank,GradientBoostingRegressor_rfe_rank,AdaBoostRegressor_rfe_rank,ExtraTreesRegressor_rfe_rank,LGBMRegressor_feature_importance,XGBRegressor_feature_importance,RandomForestRegressor_feature_importance,GradientBoostingRegressor_feature_importance,AdaBoostRegressor_feature_importance,ExtraTreesRegressor_feature_importance
Neighborhood_SWISU,4.180675666853495,0.04106953169200877,0.016422522565714057,0.0538971224362704,257,176,60,151,148,0,0.0029575662,9.840843988763517e-05,0.0002466840190854599,0.0,0.0003902962224231294
Neighborhood_Sawyer,21.44685841998049,3.966925309285793e-06,0.047593934824203155,0.1213485303229276,112,149,195,154,130,5,0.00038642934,0.00011412468718909815,0.0,0.0,0.0004877849135927474
Neighborhood_SawyerW,2.0410039681603123,0.15332618459313124,0.039372019628381834,0.0376866335167166,260,196,199,153,179,0,0.00019153232,4.724946610237932e-05,0.0,0.0,0.00013675472954065442
Neighborhood_Somerst,46.26770269888567,1.5096117986280172e-11,0.05565216717539101,0.1767348482423384,74,118,74,54,117,5,0.002482335,0.00024412754643315205,0.000356311618423921,0.0015545749630649602,0.00047605224826647945
Neighborhood_StoneBr,54.50573650767043,2.6157193714605634e-13,0.017094687620007855,0.19129341315510184,54,156,61,112,176,14,0.0015667444,0.00013603134946867134,0.0004576767832261226,0.0,0.0002479495130296705
Neighborhood_Timber,26.665824270975108,2.758354414310248e-07,0.024424579739453712,0.13506830816934212,166,154,194,161,198,0,0.000977543,0.00010042846237387101,0.0,0.0,7.855403735206992e-05
Neighborhood_Veenker,4.862435045157999,0.02760569370727452,0.006910515363668897,0.05811207803725304,177,228,172,160,261,0,0.00038281415,1.5640345919544002e-05,0.0,0.0,6.258548319350825e-06
OpenPorchSF,172.16124083747485,3.1593691110602186e-37,0.9220683094581539,0.32729394207820967,10,18,28,126,56,75,0.0016587584,0.003004446178438781,0.0013720756402226628,0.0,0.0011165274166089988
OpenPorchSF_binned_5,238.9674914851612,5.58597020307448e-50,0.6376579987399328,0.37782953385975265,261,92,144,111,67,0,0.0,0.0005244010594942628,0.00010429962315259921,0.0,0.0012747161183930841
OverallCond_ordinal_encoded,2.7155190623586076,0.09959555688779784,1.2366442304945013,0.04346002257469003,14,10,11,12,15,98,0.00831466,0.009610556661267424,0.017523636468381176,0.00935744649288633,0.00539509890951197
OverallQual_ordinal_encoded,2940.3350605426103,0.0,0.46734696743631504,0.819771381571633,11,1,1,2,2,107,0.08619436,0.4660320362113036,0.35546715934002115,0.239033885787585,0.17540737597847955
PavedDrive_ordinal_encoded,149.93744262323136,7.331328309292305e-33,0.2500424945846645,0.307573551147454,36,37,37,41,69,26,0.0038632425,0.0019922776985788837,0.0011412661108538545,0.0,0.0010232244960020336
PoolArea,1.79692853615128,0.1802964413822919,738.0,0.035364515073952225,275,288,89,129,267,0,0.002509519,1.935415510523997e-05,8.021458771510818e-05,0.0,1.417927181799893e-05
PoolArea_binned_5,,,0.0,,277,319,200,176,318,0,0.0,0.0,0.0,0.0,0.0
PoolQC_ordinal_encoded,1.4299937640948004,0.2319630165248734,0.01388689128020808,0.03155185077948315,271,264,84,131,282,0,0.0,1.8589437110660844e-06,5.674501659225652e-05,0.0,4.4442497845390915e-06
RoofMatl_ClyTile,,,0.0,,279,317,177,134,319,0,0.0,0.0,0.0,0.0,0.0
RoofMatl_CompShg,2.5446460483078623,0.11088890590484658,0.013724176973116791,0.042072955426526594,281,178,143,173,167,0,0.0,7.853565556594831e-05,0.0,0.0,0.00013539371674185425
RoofMatl_Membran,0.9087952696359867,0.34059481934015245,0.000695409955306835,0.025157622789919416,282,316,215,135,306,0,0.0,1.3713296999886696e-10,0.0,0.0,1.2405836812483558e-05
RoofMatl_Metal,0.043053659713706505,0.8356537077504606,0.0006954099553068351,0.005477376214677971,285,312,216,136,293,0,0.0,2.504989306429703e-06,0.0,0.0,1.068637763583629e-05
RoofMatl_Roll,0.23518312226283122,0.6277809916318963,0.000695409955306835,0.01280093050454939,286,309,223,156,313,0,0.0,9.90976593947508e-08,0.0,0.0,8.014541793867054e-06
RoofMatl_Tar&Grv,0.017215762343577218,0.8956284870687732,0.006910515363668897,0.00346365457312226,268,274,225,143,257,0,0.0,2.5903344627854716e-05,0.0,0.0,5.5087632524943585e-05
RoofMatl_WdShake,4.332954161034736,0.037558205240489875,0.003467364401112076,0.054867025043441105,265,299,226,145,288,0,8.826838e-05,3.152602286867612e-07,0.0,0.0,1.1674310150833696e-05
RoofMatl_WdShngl,0.9125357973657783,0.3396033832664338,0.0013898513730714603,0.025209310159537906,263,314,229,149,305,0,0.0,2.1240511614790864e-06,3.227808225006402e-05,0.0,4.368763079510363e-06
RoofStyle_Flat,0.5129830962584805,0.47396687682896266,0.00828099598589616,0.018903749989209708,178,146,201,147,172,0,0.0,6.772821947610716e-05,0.0,0.0,0.00025715367316548287
RoofStyle_Gable,52.340558717163034,7.569415456556225e-13,0.16958414387818896,0.18759185011748106,81,77,204,168,78,7,0.001008461,0.00030364799225911194,3.8071251879461976e-06,0.0,0.0008351126556683671
RoofStyle_Gambrel,3.502436068962275,0.06148194799508556,0.007596239943553631,0.0493434836597651,184,164,202,195,200,0,0.0,6.566410652948249e-05,0.0,0.0,0.00019833635559547946
RoofStyle_Hip,58.55870328648267,3.600645316315278e-14,0.15645852310615802,0.19800883890914106,104,107,145,36,113,6,0.0,0.00030038382630367933,0.0,0.0,0.0006445622946140228
RoofStyle_Mansard,0.06709151024390088,0.7956567356978743,0.004847530398761432,0.0068375053837002415,203,227,239,174,271,0,0.0,1.1224356027805588e-05,0.0,0.0,2.4683817728034988e-05
RoofStyle_Shed,1.1040291646609228,0.29356047960456527,0.0013898513730714603,0.027726645050272964,186,310,123,179,302,0,0.0,1.6596701189832352e-06,0.0,0.0,4.374083870365489e-06
SaleCondition_Abnorml,45.30967599218807,2.4248723585987134e-11,0.06414720995811558,0.17495211189306276,30,34,24,20,33,28,0.004025078,0.0014625981550383043,0.0023131142705182803,0.005473100409950815,0.002333690977226369
SaleCondition_AdjLand,6.21285627467986,0.012794630581056633,0.0027758285959740797,0.06565708385018221,233,286,214,166,292,0,0.0,8.966954440270365e-07,0.0,0.0,2.3784825342411685e-05
SaleCondition_Alloca,0.8493515308000055,0.3568907635192654,0.008280995985896157,0.024321440789502068,310,203,196,185,226,0,0.008741023,3.9845836542527065e-05,0.0,0.0,5.8445134022401785e-05
SaleCondition_Family,2.910923451093995,0.0881978634224468,0.013724176973116788,0.04499346095811404,84,48,45,23,66,6,0.0045802924,0.0008212068393877367,0.0004603761177773221,0.006398721792922592,0.0013744760051534579
SaleCondition_Normal,15.126856746103364,0.00010512012770102531,0.14685934752531393,0.10213423706536331,20,64,71,187,49,28,0.0013738426,0.0005340124067334757,0.0002622473181742817,0.001256811525566176,0.0011206502822809293
SaleCondition_Partial,185.89790130647717,6.806589772204973e-40,0.07769123894838129,0.3386564982802555,71,59,72,189,137,11,0.0037184425,0.00032631746015273266,0.0003744407063588307,0.0,0.0004517249578074225
SaleType_COD,10.525061502600577,0.001204779693756824,0.0290280386775782,0.08532956042315909,162,142,98,182,180,0,0.0009561075,0.00015969792779181363,3.407264972559443e-05,0.0,0.00017381817664731237
SaleType_CWD,0.830814362975761,0.3621902423919524,0.0027758285959740797,0.024054723168082257,223,243,209,193,256,0,0.002392256,1.5190085241100621e-05,0.0,0.0,2.6138642690064226e-05
SaleType_Con,2.8904546425429096,0.08932247070559363,0.0006954099553068351,0.04483531022018559,225,305,261,171,301,0,0.0,0.0,0.0,0.0,6.703089576410628e-06
SaleType_ConLD,3.5299017386569886,0.06047392135208878,0.006223822246241954,0.04953610568487994,227,220,210,197,214,0,0.0,3.941124551719478e-05,0.0,0.0,5.669186866573105e-05
SaleType_ConLI,0.021754568432244083,0.8827625986343979,0.003467364401112075,0.003893552128855115,229,297,212,201,268,0,0.00015025555,7.163038878020645e-07,0.0,0.0,1.6345553476493315e-05
SaleType_ConLw,2.0061937043898603,0.15687496440737275,0.003467364401112075,0.03736432247317794,230,244,211,205,258,0,3.4300865e-05,1.2201667263515957e-05,0.0,0.0,1.0307391595200771e-05
SaleType_New,192.0572577647642,4.4146757979798133e-41,0.07595368259765642,0.34356897844448375,27,124,30,198,92,7,0.007590231,0.00027684228321349304,0.0018216029581940554,0.0,0.0004245744006184452
SaleType_Oth,2.2858040306970917,0.1307826447219207,0.0020833242532938756,0.039879336959501806,211,296,270,203,270,0,0.0,5.814787072708894e-07,0.0,0.0,1.0811651872591993e-05
SaleType_WD,74.11603216097396,1.9051402975436055e-17,0.11422544357808763,0.22161276079791947,63,81,95,60,60,8,0.002937791,0.00038018628788039294,5.9899167956750664e-05,0.000296119882289913,0.0009255091893354301
ScreenPorch,19.524215785041275,1.0679600347205002e-05,480.0,0.11585807849050252,37,79,41,209,123,18,0.0016719892,0.0004430108746300625,0.0008090511970231361,0.0,0.00040197178098372294
ScreenPorch_binned_5,,,0.0,,171,313,281,207,324,0,0.0,0.0,0.0,0.0,0.0
Street_ordinal_encoded,7.667813258225062,0.005693820318355832,0.003467364401112075,0.07290420735552086,191,277,282,191,251,0,0.0,1.7465825427649893e-05,0.0,0.0,6.146437667980629e-05
TotRmsAbvGrd,569.2393933253793,3.0790204412151827e-106,0.6446067713365189,0.5329330777548601,29,30,52,21,36,18,0.00040669058,0.0016304111138258268,0.0003319749911525167,0.0019649757421509794,0.0026655784565430356
TotalBsmtSF,997.3822796476289,1.2022372682175763e-166,0.6697982817092997,0.6403463060045234,8,15,58,32,22,121,0.0007402189,0.00374639752124266,0.00029312720357967066,0.00022351529518689715,0.007280152616238485
TotalBsmtSF_binned_5,777.2319075731806,4.734438479382945e-137,0.49702780041734285,0.5927341979201238,212,95,284,181,13,0,0.0,0.0003567945778068435,0.0001409284676886416,0.0,0.013103726236955717
TotalSF,2948.995782994565,0.0,0.5774486576808259,0.8201664726174528,3,2,2,1,1,201,0.06510767,0.29962219883492874,0.35026848540974176,0.21648774003173435,0.13406467573520964
