,f_value,p_value,variance,correlation_to_target,LGBMClassifier_rfe_rank,RandomForestClassifier_rfe_rank,GradientBoostingClassifier_rfe_rank,ExtraTreesClassifier_rfe_rank,AdaBoostClassifier_rfe_rank,XGBClassifier_rfe_rank,LGBMClassifier_feature_importance,RandomForestClassifier_feature_importance,GradientBoostingClassifier_feature_importance,ExtraTreesClassifier_feature_importance,AdaBoostClassifier_feature_importance,XGBClassifier_feature_importance
DailyRate*YearsInCurrentRole_binned_5_woe_encoded,33.89268024508743,7.527646598464542e-09,2.837703900244874,0.16834757052503807,291,333,94,259,260,184,1,0.0010073766425386056,0.0021777962487584085,0.0015811739819953086,0.0,0.0015674017
DailyRate*YearsSinceLastPromotion,2.2429667839981042,0.1344948122200994,2.3639645788597208,0.04389242842173139,175,123,287,262,262,244,7,0.0012055041863927736,0.0,0.0017054439651253183,0.0,0.0
DailyRate*YearsSinceLastPromotion_binned_5,4.416812890222784,0.03580130358857563,0.3381484630554669,0.06153576659728387,325,534,315,482,264,384,0,0.0005720222495170777,0.0,0.0009880416356359352,0.0,0.0
DailyRate*YearsSinceLastPromotion_binned_5_catboost_encoded,0.256100919127518,0.6129076116799619,0.5267248966818816,0.014844126656496533,225,394,282,368,266,385,3,0.002422201322271579,0.0006396805618399792,0.0014718244927858478,0.0,0.0
DailyRate*YearsSinceLastPromotion_binned_5_target_encoded,0.25741948820721505,0.6119948455833528,0.5261644831665663,0.014882282617892042,511,354,294,237,268,214,0,0.0012582086075089375,0.0,0.0014230761120312687,0.0,0.0
DailyRate*YearsSinceLastPromotion_binned_5_woe_encoded,0.6705485428065726,0.41302832910564835,0.4462048725697496,0.024015231405412736,267,251,110,325,271,81,2,0.0010004241071100268,0.0017292416668970444,0.0017443448877391282,0.0,0.0038175297
DailyRate*YearsWithCurrManager,20.099327714369956,8.079696849470048e-06,0.7267064635647092,0.13039585324186573,109,68,344,526,273,397,10,0.00322573159688351,0.0,0.0009264709098159692,0.0,0.0
DailyRate*YearsWithCurrManager_binned_5,30.629941197375356,3.8566720493325204e-08,0.4958880607810489,0.16025818780171208,281,447,337,442,275,363,1,0.00035952908743544965,0.0,0.0011141585384577984,0.0,0.0
DailyRate*YearsWithCurrManager_binned_5_catboost_encoded,37.73225608243095,1.112693534031401e-09,9.034262580378778,0.1773430686072461,244,350,302,461,277,169,3,0.0015766202854428063,0.0,0.000994117467053874,0.0,0.0024053522
DailyRate*YearsWithCurrManager_binned_5_target_encoded,37.74657922469509,1.10480905242869e-09,9.057096057827383,0.17737566626914802,363,400,99,299,279,395,0,0.0008148472844988115,0.0015755079127207983,0.0016234075577100464,0.0,0.0
